anio,QQQ_comprar_y_mantener,A2_seguro,B_volatilidad,C2_minima_caida
2000,-0.4329,0.0349,-0.076,0.0432
2001,-0.3334,0.0356,-0.0409,0.0356
2002,-0.3737,0.0164,-0.1108,0.0164
2003,0.4967,0.4017,0.2163,0.1804
2004,0.1054,0.0401,0.0699,0.0285
2005,0.0157,-0.0744,0.0204,-0.0531
2006,0.0714,0.0252,0.0516,0.0241
2007,0.1903,0.1903,0.1561,0.1561
2008,-0.4173,-0.0474,-0.1798,-0.0176
2009,0.5468,0.2848,0.242,0.1602
2010,0.2014,0.1188,0.1139,0.0712
2011,0.0348,-0.0571,0.0161,-0.0188
2012,0.1811,0.0971,0.0713,0.0237
2013,0.3663,0.3344,0.3212,0.2968
2014,0.1918,0.1918,0.1473,0.1473
2015,0.0944,-0.0484,0.0266,-0.053
2016,0.071,-0.0777,0.0326,-0.0611
2017,0.3266,0.3266,0.3134,0.3134
2018,-0.0013,0.1086,0.0119,0.0602
2019,0.3896,0.2046,0.21,0.1442
2020,0.4841,0.2087,0.1472,0.0723
2021,0.2742,0.2742,0.1789,0.1789
2022,-0.3258,-0.0943,-0.1473,-0.0517
2023,0.5486,0.2973,0.3115,0.215
2024,0.2558,0.1624,0.1794,0.1249
2025,0.2077,0.1101,0.0992,0.0824
2026,0.1772,0.0544,0.1092,0.0297
