anio,SPY_comprar_y_mantener,A2_seguro,B_volatilidad,C2_minima_caida
1994,-0.0007,-0.0557,-0.0006,-0.0553
1995,0.3805,0.3805,0.3792,0.3792
1996,0.225,0.225,0.1951,0.1951
1997,0.3348,0.3348,0.2269,0.2269
1998,0.2869,0.2021,0.1483,0.126
1999,0.2039,0.1181,0.1415,0.0857
2000,-0.0974,-0.0433,-0.055,-0.029
2001,-0.1176,0.0356,-0.0687,0.0356
2002,-0.2158,0.0164,-0.1264,0.0164
2003,0.2818,0.2258,0.2006,0.1747
2004,0.107,0.0088,0.1055,0.0081
2005,0.0483,0.0483,0.0475,0.0475
2006,0.1585,0.1585,0.151,0.151
2007,0.0515,-0.0123,0.0487,0.0049
2008,-0.3679,0.0141,-0.1761,0.0141
2009,0.2635,0.1788,0.1587,0.1052
2010,0.1506,0.0868,0.1133,0.0685
2011,0.0189,-0.0366,-0.0081,-0.024
2012,0.1599,0.1068,0.0882,0.0656
2013,0.3231,0.3231,0.3068,0.3068
2014,0.1346,0.1346,0.1268,0.1268
2015,0.0123,-0.0696,-0.0216,-0.0693
2016,0.12,0.0924,0.0874,0.0851
2017,0.2171,0.2171,0.2171,0.2171
2018,-0.0457,0.0293,-0.0258,0.0211
2019,0.3122,0.175,0.2136,0.1473
2020,0.1833,0.0779,0.0333,0.0322
2021,0.2873,0.2873,0.2466,0.2466
2022,-0.1818,-0.1551,-0.1135,-0.1032
2023,0.2618,0.1789,0.2066,0.1657
2024,0.2489,0.2489,0.2253,0.2253
2025,0.1772,0.118,0.0774,0.0905
2026,0.1257,0.0249,0.0926,0.0074
