Activo,SMA,Banda,Semanas,X,Y,Logica,Sharpe_completo,CAGR_completo,MaxDD_completo,Rotacion,PeorAnio,Sharpe_2000-2009,CAGR_2000-2009,MaxDD_2000-2009,Sharpe_2010-2019,CAGR_2010-2019,MaxDD_2010-2019,Sharpe_ultimos10,CAGR_ultimos10,MaxDD_ultimos10
SPY,100,0.01,26,8,2,AND,0.5078781479182376,0.0744514078932561,-0.1906292671557342,3.5679238374221898,-0.1608169078926388,0.2220429646411036,0.042764297632335,-0.1294451991249144,0.4930455933072286,0.0488831827574069,-0.1642107322278065,0.7192484867918424,0.0927269918898299,-0.1764792451880551
SPY,100,0.01,26,8,4,AND,0.4820718539517439,0.0732129758633566,-0.2536730327443144,4.306114976199194,-0.1898572194395776,0.1698249107097439,0.0386575254547321,-0.1523576231138605,0.4569403781736696,0.0465445859407571,-0.1928457499551663,0.6380330841225733,0.0871020227607661,-0.192845749955168
SPY,100,0.01,26,8,6,AND,0.4674065165515083,0.0725147631595151,-0.3331128156153105,4.859758330281949,-0.2149352929720706,0.0766311215212984,0.0299822094868849,-0.2425815187070941,0.4960532601678756,0.0514335341451321,-0.1556873256931998,0.6602000599593676,0.0919300450223599,-0.1632599860462816
SPY,100,0.01,26,8,8,AND,0.4614038849446245,0.0725784669735687,-0.3439368209249056,6.09007689491029,-0.2149352929720698,0.0391003173224143,0.026273730458195,-0.2548749048375587,0.4776801279932031,0.0504121717903274,-0.1803676714109263,0.6902872434227617,0.097143875407925,-0.1862545561805298
SPY,100,0.01,26,10,2,AND,0.492696865849408,0.0733161820037269,-0.2567436580230657,3.875503478579276,-0.1791706515816141,0.1796015101278749,0.0391277987573783,-0.1600020109368776,0.4371544293642688,0.043679953022967,-0.1642107322278067,0.8291554483707684,0.1056615143494605,-0.1642107322278073
SPY,100,0.01,26,10,4,AND,0.5043159194692565,0.0759491012052588,-0.2536730327443142,4.244599047967777,-0.1898572194395772,0.1698249107097439,0.0386575254547321,-0.1523576231138605,0.4577634753410013,0.04669003200671,-0.1928457499551688,0.7153963886150501,0.0965160487212883,-0.192845749955168
SPY,100,0.01,26,10,6,AND,0.4390797314633883,0.0696562575988304,-0.3586703843810195,4.798242402050532,-0.2149352929720706,0.0113652180423914,0.0235503226624527,-0.2716085796153382,0.4669205662965504,0.0487028372933262,-0.1556873256931993,0.6529735054280147,0.0919435359450742,-0.1706593220860875
SPY,100,0.01,26,10,8,AND,0.4463057848256825,0.0711594564911408,-0.3534105029569747,5.0443061149762,-0.2149352929720698,0.0017716119610945,0.0224624786439613,-0.2656346585485287,0.4568436462961571,0.048446946821212,-0.1955498687668072,0.6946185088986727,0.0984470614235,-0.1643689476953151
SPY,100,0.01,26,12,2,AND,0.4814853072751017,0.0728737024464518,-0.266896713490535,4.121567191504943,-0.21493529297207,0.1239823867902001,0.0343791421474564,-0.1673764455210519,0.4070330436262017,0.0414086985329802,-0.1821937964103743,0.7913025388054774,0.103253463588572,-0.182193796410375
SPY,100,0.01,26,12,4,AND,0.5007451539309574,0.0757769817189608,-0.2767756796026547,4.306114976199194,-0.2149352929720696,0.1329434527884029,0.0353050119767335,-0.1785965014534346,0.4822275375000423,0.0494448484202769,-0.1713831970906828,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,26,12,6,AND,0.4385333255452047,0.0698913155365261,-0.3792314397910122,4.736726473819115,-0.2149352929720706,-0.0404802400171462,0.0184321296157072,-0.2949608402781142,0.4577844399268254,0.0481019124715906,-0.1556873256931984,0.7030523060028679,0.0987094203473513,-0.1706593220860864
SPY,100,0.01,26,12,8,AND,0.463719518151634,0.0734965262160363,-0.3534105029569747,4.798242402050532,-0.2149352929720698,-0.0152265303506701,0.0207638225456072,-0.2656346585485287,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.7170744850399045,0.1020744313910217,-0.1844430328982899
SPY,100,0.01,26,15,2,AND,0.4865289106835145,0.0735153739973542,-0.266896713490535,4.18308311973636,-0.21493529297207,0.1239823867902001,0.0343791421474564,-0.1673764455210519,0.4497048569128046,0.0458471133131457,-0.1821937964103744,0.7658992064598388,0.1007104115466854,-0.182193796410375
SPY,100,0.01,26,15,4,AND,0.5007451539309574,0.0757769817189608,-0.2767756796026547,4.306114976199194,-0.2149352929720696,0.1329434527884029,0.0353050119767335,-0.1785965014534346,0.4822275375000423,0.0494448484202769,-0.1713831970906828,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,26,15,6,AND,0.4501291065813045,0.0714638907840414,-0.3792314397910122,4.736726473819115,-0.2149352929720706,-0.0404802400171462,0.0184321296157072,-0.2949608402781142,0.4797548391339953,0.0510368656820452,-0.1816818230618762,0.7192359500074395,0.1008959043635948,-0.1632599860462816
SPY,100,0.01,26,15,8,AND,0.4584722839800589,0.0728747136923451,-0.3534105029569747,4.798242402050532,-0.2149352929720698,-0.0152265303506701,0.0207638225456072,-0.2656346585485287,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.6993538684446269,0.0999953893380762,-0.1996624220884365
SPY,100,0.01,26,18,2,AND,0.5019370079059249,0.0753669478318268,-0.266896713490535,4.18308311973636,-0.21493529297207,0.1239823867902001,0.0343791421474564,-0.1673764455210519,0.5036075653397218,0.0517325426527464,-0.1821937964103747,0.7658992064598388,0.1007104115466854,-0.182193796410375
SPY,100,0.01,26,18,4,AND,0.5240147515302789,0.0786119312570419,-0.2677289164280481,4.367630904430612,-0.2149352929720696,0.1715544584348164,0.0389966814017301,-0.1683216217064961,0.531129681801966,0.0548134079614481,-0.1713831970906836,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,26,18,6,AND,0.4552108770638111,0.072108725646286,-0.3792314397910122,4.736726473819115,-0.2149352929720706,-0.0404802400171462,0.0184321296157072,-0.2949608402781142,0.4973483135023867,0.0530980464577957,-0.1816818230618753,0.7192359500074395,0.1008959043635948,-0.1632599860462816
SPY,100,0.01,26,18,8,AND,0.4462004599064347,0.0714947219136441,-0.3534105029569747,4.859758330281949,-0.2149352929720698,-0.0152265303506701,0.0207638225456072,-0.2656346585485287,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.6566050440709524,0.0953910748710604,-0.2324619510966045
SPY,100,0.01,39,8,2,AND,0.4760506292915507,0.070210574018183,-0.1906292671557347,3.5064079091907727,-0.1608169078926387,0.1858608835954414,0.039006171189742,-0.1294451991249144,0.4328771830595705,0.0427476719530073,-0.1749234766051206,0.7040058022318837,0.0903070130598957,-0.1829685676850969
SPY,100,0.01,39,8,4,AND,0.4748284452107495,0.0716406349716223,-0.2434784933598697,4.18308311973636,-0.1898572194395766,0.1574094680816729,0.0370179224191087,-0.1407791541931071,0.4234974699999333,0.0430906956607224,-0.1928457499551685,0.65608097166821,0.0886076469050634,-0.192845749955168
SPY,100,0.01,39,8,6,AND,0.4870669736245461,0.0739097437055178,-0.2668967134905359,4.429146832662029,-0.2149352929720706,0.1592857335527957,0.037367788012347,-0.1673764455210519,0.4761910477654489,0.0493238904173263,-0.1556873256931999,0.6571296517287426,0.091144302104442,-0.1632599860462816
